FF25DA290A8D9AEE3263302DAF97154FFF0828DB61FE145A131F50E5DA4C4F0C *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Forensic Evidence_ Timestamp Impossibility of “Independent Invention”.docx
595BD2410C3C741F17EFB8640CCF35292321B35B04E165F3ED5E51D73B4C706F *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 103530.png
A5F9442C52A7E531EA9DD7174E7FDB9C251A549AADC41A71106575B2F7A1039A *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 103814.png
BF9F04DF34D2FCD2B768EC311497A22CE15E95EC4EFB9D96AAD426750968845F *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 103838.png
1A69A4D85DE89A35F901952610FB3E6554AAFD246FFB18EB5656DE302E08BFB7 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104030.png
355B901722BFF951B53585421A8F7675ECEA7EBE01D1BD6FACE42F01E62B2F17 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104108.png
6752454EFA4B578B048028FAD9B03C10172285B455901A0521155650DFBBA98B *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104520.png
8B45F052A270F9CD4DDA4DE578CEC4F05F24A05A8824B8107B5D89C15E1B80D2 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104541.png
484F24FDC12D0ABC2335C4C39C67EAF03C6BEB4BEFD7CCFF5A2744DA46FB9197 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104802.png
22FE36A4DE5616B13C354A831CDCB748433EA25B2F7BC38AF9DBD272671AD61A *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 104819.png
8C0F0AD202DE70D0384E9F66A8BFF0E7DC6DAA93F6C8CA85DB11B3C4C367E1F0 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\The 8-Minute Inflection Killshot.docx
76AB3D2C9DA524AA94766B41847FAF95D4501A90E7F82A1B900F8DBC6F3214AD *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\The 8-Minute Inflection Killshot.md
85AE41FDF6E999A2AC28BEC59CFC9E7F4FA7AB16E553E2CFCEF0359CC1AC8E5B *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\The 8-Minute Inflection Killshot.pdf
68D8D12F927BC8A5E0BC1CECE0892B6A5A8A584A117077C6262B4ED6218621BF *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Vault-Ready Contradiction Matrix.md
2CF78BC03CC94A39038D728D92A87F5BD11742F77FD97384484868D864D8AE44 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Why “Independent Evolution” Is Not a Valid Defense.docx
FC8F2C82A036912DF0F9DB3102112173B8949CB3D8D7A88F6AB0CCD072C371A3 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Why “Independent Evolution” Is Not a Valid Defense.md
70DA672BCECA133EED2BA1CD795B7169DE255F4175952E3C806C1CD9B0A642A8 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Why “Independent Evolution” Is Not a Valid Defense.pdf
